"ID.Region","Region","ID.Comuna","Comuna","ID.Administration","Administration","Average.PSU","Average.NEM","Number.of.records"
1,"Tarapacá",5,"Alto Hospicio",1,"Municipal",459.798076923077,5.55105263935892,76
1,"Tarapacá",5,"Alto Hospicio",2,"Particular Subvencionado",455.553624627607,5.54864697619508,1289
1,"Tarapacá",58,"Colchane",1,"Municipal",370.166666666667,5.49333333969116,3
1,"Tarapacá",108,"Huara",1,"Municipal",378.230769230769,5.6226666132609,15
1,"Tarapacá",113,"Iquique",1,"Municipal",445.324712643678,5.56119629453422,877
1,"Tarapacá",113,"Iquique",2,"Particular Subvencionado",514.791021671827,5.68002734022278,2568
1,"Tarapacá",113,"Iquique",3,"Particular Pagado",580.561946902655,5.98723577871555,125
1,"Tarapacá",113,"Iquique",4,"Corporación de Administración Delegada",432.491228070175,5.36794520730842,75
1,"Tarapacá",217,"Pica",1,"Municipal",443.55,5.6583333214124,24
1,"Tarapacá",226,"Pozo Almonte",1,"Municipal",410.491428571429,5.62404761314392,211
1,"Tarapacá",226,"Pozo Almonte",2,"Particular Subvencionado",373,4.90000009536743,1
2,"Antofagasta",9,"Antofagasta",1,"Municipal",446.045598313126,5.57645134554991,2365
2,"Antofagasta",9,"Antofagasta",2,"Particular Subvencionado",520.520961145194,5.60823849180096,2220
2,"Antofagasta",9,"Antofagasta",3,"Particular Pagado",560.569560047562,5.72439176274329,972
2,"Antofagasta",19,"Calama",1,"Municipal",471.038382453735,5.44453333896139,1734
2,"Antofagasta",19,"Calama",2,"Particular Subvencionado",523.328888888889,5.6242818838798,746
2,"Antofagasta",19,"Calama",3,"Particular Pagado",550.815165876777,5.74579711187454,484
2,"Antofagasta",165,"María Elena",1,"Municipal",457.383928571429,5.89453127980232,64
2,"Antofagasta",170,"Mejillones",1,"Municipal",427.715189873418,5.87305265225862,95
2,"Antofagasta",297,"San Pedro De Atacama",1,"Municipal",460.672413793103,5.5738709357477,32
2,"Antofagasta",313,"Taltal",1,"Municipal",440.323529411765,5.97574195861816,155
2,"Antofagasta",321,"Tocopilla",1,"Municipal",392.136,5.4755688627323,167
2,"Antofagasta",321,"Tocopilla",2,"Particular Subvencionado",508.276595744681,5.6530476297651,105
3,"Atacama",4,"Alto Del Carmen",1,"Municipal",447.97619047619,5.58347826418669,23
3,"Atacama",21,"Caldera",1,"Municipal",400.185185185185,5.37085715021406,71
3,"Atacama",21,"Caldera",2,"Particular Subvencionado",474.60824742268,5.54636364416643,110
3,"Atacama",39,"Chañaral",1,"Municipal",455.2,5.78559055854016,127
3,"Atacama",39,"Chañaral",2,"Particular Subvencionado",449.428571428571,5.81055556403266,18
3,"Atacama",68,"Copiapó",1,"Municipal",449.292019347037,5.38073544604542,986
