scrubbed_genus,scrubbed_species_binomial,latitude,longitude,date_collected,datasource,dataset,dataowner,custodial_institution_codes,collection_code,datasource_id
Nothofagus,Nothofagus betuloides,-54.816667,-64.116667,1971-10-30,GBIF,E,E,E,E,3550
Nothofagus,Nothofagus obliqua,-35.85,-71.1,NA,MO,"CONC, SGO","CONC, SGO","CONC, SGO",NA,280
Nothofagus,Nothofagus pumilio,-41.15,-71.383333,1957-02-01,GBIF,MEL,MEL,MEL,MEL,3283
Nothofagus,Nothofagus pumilio,-40.25,-71.37,NA,GBIF,K,K,K,HERB,3716
Nothofagus,Nothofagus obliqua,-39.33333,-71.75,1991-11-29,MO,MO,MO,MO,NA,280
Nothofagus,Nothofagus nitida,-40.435278,-73.646944,1998-02-10,GBIF,E,E,E,E,3550
Nothofagus,Nothofagus dombeyi,-40.18,-71.32,NA,GBIF,US,US,US,HERB,3271
Nothofagus,Nothofagus obliqua,-32.98823,-71.00612,NA,GBIF,MNHN,MNHN,MNHN,P,3541
Nothofagus,Nothofagus dombeyi,-41.032837,-72.045593,1973-11-25,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus dombeyi,-41.053547,-72.062073,1973-11-24,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus antarctica,-54.88,-67.2594,2002-01-24,GBIF,NSW,NSW,NSW,NSW,3466
Nothofagus,Nothofagus obliqua,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus obliqua,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus antarctica,-43.02,-71.49,NA,GBIF,SI,SI,SI,HERB,3669
Nothofagus,Nothofagus betuloides,-54.76666,-64.53333,1971-11-06,MO,MO,MO,MO,NA,280
Nothofagus,Nothofagus dombeyi,-41.032837,-72.045593,1973-11-25,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus macrocarpa,-32.981944,-71.021111,2016-05-03,GBIF,E,E,E,E,3550
Nothofagus,Nothofagus antarctica,-54.8483333,-64.4333333,1971-11-02,MO,MO,MO,MO,NA,280
Nothofagus,Nothofagus betuloides,-35.3869,-64.9208,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus dombeyi,-41.029438,-71.814278,1973-12-30,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus nitida,-39.77,-72.52,NA,GBIF,WELT,WELT,WELT,WELT,3730
Nothofagus,Nothofagus pumilio,-35.3869,-64.9208,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus pumilio,-54.795876,-68.379333,1973-12-05,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus pumilio,-50.465527,-72.842102,1973-12-17,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus dombeyi,-40.18,-71.32,NA,GBIF,BAB,BAB,BAB,HERB,3614
Nothofagus,Nothofagus dombeyi,-41.05769,-71.523743,1974-01-03,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus dombeyi,-41.053547,-72.062073,1973-11-24,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus dombeyi,-40.18,-71.32,NA,GBIF,HRP,HRP,HRP,HERB,3308
Nothofagus,Nothofagus pumilio,-51.17,-72.83,NA,GBIF,CONC,CONC,CONC,HERB,3749
Nothofagus,Nothofagus pumilio,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus obliqua,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus antarctica,-40.7333,-72.15,1975-11-20,GBIF,CANB,CANB,CANB,CANB,3664
Nothofagus,Nothofagus dombeyi,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus antarctica,-40.76,-71.44,NA,GBIF,BAB,BAB,BAB,HERB,3614
Nothofagus,Nothofagus pumilio,-40.25,-71.37,NA,GBIF,BAB,BAB,BAB,HERB,3614
Nothofagus,Nothofagus antarctica,-49.76,-72.09,NA,GBIF,SI,SI,SI,HERB,3669
Nothofagus,Nothofagus dombeyi,-41.05769,-71.523743,1974-01-03,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus obliqua,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus antarctica,-38.667,-70.9,1939-03-06,GBIF,MNHN,MNHN,MNHN,P,3541
Nothofagus,Nothofagus antarctica,-54.88,-67.2594,2002-01-24,GBIF,CANB,CANB,CANB,CANB,3664
Nothofagus,Nothofagus antarctica,-39.0625,-70.451389,1946-01-01,GBIF,MEL,MEL,MEL,MEL,3283
Nothofagus,Nothofagus dombeyi,-43.02,-71.49,NA,GBIF,SI,SI,SI,HERB,3669
Nothofagus,Nothofagus antarctica,-41.214,-71.5,1968-11-13,GBIF,MNHN,MNHN,MNHN,P,3541
Nothofagus,Nothofagus dombeyi,-40.13,-71.47,NA,GBIF,HRP,HRP,HRP,HERB,3308
Nothofagus,Nothofagus pumilio,-54.841064,-68.514519,1973-12-05,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus betuloides,-49.76,-72.09,NA,GBIF,SI,SI,SI,HERB,3669
Nothofagus,Nothofagus pumilio,-50.465527,-72.842102,1973-12-17,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus obliqua,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus obliqua,-37.75,-72.9666667,1979-01-24,MO,"DUKE, MO","DUKE, MO","DUKE, MO",NA,280
Nothofagus,Nothofagus glauca,-36.08,-71.16,1999-09-03,GBIF,MA,MA,MA,MA,3753
Nothofagus,Nothofagus betuloides,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus antarctica,-54.80191,-68.30295,NA,GBIF,MNHN,MNHN,MNHN,P,3541
Nothofagus,Nothofagus dombeyi,-37.78,-72.97,NA,GBIF,WELT,WELT,WELT,WELT,3730
Nothofagus,Nothofagus dombeyi,-41.05769,-71.523743,1974-01-03,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus dombeyi,-41.58333,-71.8,1978-12-17,MO,MO,MO,MO,NA,280
Nothofagus,Nothofagus dombeyi,-40.666389,-71.662222,1938-02-15,GBIF,MEL,MEL,MEL,MEL,3283
Nothofagus,Nothofagus dombeyi,-39.0125,-71.700278,2002-09-15,GBIF,E,E,E,E,3550
Nothofagus,Nothofagus dombeyi,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus obliqua,-39.81306,-72.03833,1851-10-01,GBIF,MNHN,MNHN,MNHN,P,3541
Nothofagus,Nothofagus dombeyi,-41.053547,-72.062073,1973-11-24,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus nitida,-40.23,-73.421,NA,SALVIAS,Gentry Transect Dataset,James S. MIller,NA,NA,14
Nothofagus,Nothofagus glauca,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus dombeyi,-41,-71.5,1946-12-31,SpeciesLink,IAC,IAC,IAC,IAC,1365
Nothofagus,Nothofagus betuloides,-40.23,-73.421,NA,SALVIAS,Gentry Transect Dataset,James S. MIller,NA,NA,14
Nothofagus,Nothofagus pumilio,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus nitida,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus dombeyi,-39.676945,-71.529236,1973-12-28,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus antarctica,-54.15,-68.72,1994-01-14,GBIF,MA,MA,MA,MA,3753
Nothofagus,Nothofagus pumilio,-38.666667,-70.9,1941-02-12,GBIF,MEL,MEL,MEL,MEL,3283
Nothofagus,Nothofagus obliqua,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus pumilio,-54.801903,-68.359337,1973-12-07,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus antarctica,-50.333333,-73.233333,1953-01-01,GBIF,MEL,MEL,MEL,MEL,3283
Nothofagus,Nothofagus antarctica,-41.177944,-71.460167,2006-12-09,GBIF,UTEP,UTEP,UTEP,Plant specimens,3326
Nothofagus,Nothofagus dombeyi,-41.032837,-72.045593,1973-11-25,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus dombeyi,-39.11,-71.09,NA,GBIF,SI,SI,SI,HERB,3669
Nothofagus,Nothofagus betuloides,-54.54,-70.59,1994-12-14,GBIF,MA,MA,MA,MA,3753
Nothofagus,Nothofagus nitida,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus glauca,-36.29,-71.33,1999-06-03,GBIF,MA,MA,MA,MA,3753
Nothofagus,Nothofagus betuloides,-49.76,-72.09,NA,GBIF,SI,SI,SI,HERB,3669
Nothofagus,Nothofagus obliqua,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus betuloides,-54.75,-64.05,1903-11-18,GBIF,LD,LD,LD,General,3425
Nothofagus,Nothofagus dombeyi,-41.029438,-71.814278,1973-12-30,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus betuloides,-49.76,-72.09,NA,GBIF,SI,SI,SI,HERB,3669
Nothofagus,Nothofagus dombeyi,-41.05769,-71.523743,1974-01-03,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus pumilio,-50.125027,-72.999438,NA,GBIF,MACN,MACN,MACN,BA V,2228
Nothofagus,Nothofagus antarctica,-35.3869,-64.9208,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus antarctica,-55.100083,-69.827444,2012-01-22,NY,NY,NY,NY,Herbarium,104
Nothofagus,Nothofagus alpina,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus pumilio,-37.81,-72.98,1973-03-22,GBIF,MA,MA,MA,MA,3753
Nothofagus,Nothofagus pumilio,-53.72,-69.23,1997-02-19,GBIF,MA,MA,MA,MA,3753
Nothofagus,Nothofagus betuloides,-54.865444,-67.353694,2009-01-17,GBIF,UTEP,UTEP,UTEP,Plant specimens,3326
Nothofagus,Nothofagus antarctica,-54.78333,-64.43333,1971-11-09,GBIF,MNHN,MNHN,MNHN,P,3541
Nothofagus,Nothofagus nitida,-40.73333,-72.23333,1986-03-16,MO,MO,MO,MO,NA,280
Nothofagus,Nothofagus obliqua,-36.6063,-72.1023,1855-01-01,GBIF,MNHN,MNHN,MNHN,P,3541
Nothofagus,Nothofagus betuloides,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus dombeyi,-41.05769,-71.523743,1974-01-03,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus obliqua,-37,-72,1971-11-07,MO,MO,MO,MO,NA,280
Nothofagus,Nothofagus pumilio,-50.248377,-73.345738,NA,GBIF,MACN,MACN,MACN,BA V,2228
Nothofagus,Nothofagus dombeyi,-40.13,-71.47,NA,GBIF,MNES,MNES,MNES,HERB,1789
Nothofagus,Nothofagus dombeyi,-41.053547,-72.062073,1973-11-24,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus obliqua,-36.648611,-71.390556,2013-01-11,GBIF,E,E,E,E,3550
Nothofagus,Nothofagus dombeyi,-37.56,-73.3,1988-05-11,GBIF,MA,MA,MA,MA,3753
Nothofagus,Nothofagus pumilio,-54.654003,-67.799721,1973-12-07,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus antarctica,-49.76,-72.09,NA,GBIF,SI,SI,SI,HERB,3669
Nothofagus,Nothofagus obliqua,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus dombeyi,-41.053547,-72.062073,1973-11-24,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus pumilio,-54.597004,-68.345947,1973-12-11,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus antarctica,-42.29,-70.74,NA,GBIF,SI,SI,SI,HERB,3669
Nothofagus,Nothofagus pumilio,-50.327935,-73.152247,NA,GBIF,MACN,MACN,MACN,BA V,2228
Nothofagus,Nothofagus antarctica,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus dombeyi,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus antarctica,-39.98,-71.08,NA,GBIF,BAB,BAB,BAB,HERB,3614
Nothofagus,Nothofagus dombeyi,-41.053547,-72.062073,1973-11-24,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus nitida,-45.9,-73.366667,1992-03-04,GBIF,E,E,E,E,3550
Nothofagus,Nothofagus betuloides,-54.86666,-67.41666,1967-10-09,GBIF,UConn,UConn,UConn,CONN,1754
Nothofagus,Nothofagus obliqua,-38.027634,-73.204132,1973-11-22,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus pumilio,-40.77,-72.15,NA,GBIF,WELT,WELT,WELT,WELT,3730
Nothofagus,Nothofagus obliqua,-38.027634,-73.204132,1973-11-22,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus obliqua,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus dombeyi,-40.18,-71.32,NA,GBIF,G,G,G,HERB,3547
Nothofagus,Nothofagus dombeyi,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus dombeyi,-41.032837,-72.045593,1973-11-25,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus nitida,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus glauca,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus dombeyi,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus glauca,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus antarctica,-36.91,-71.4,1992-06-12,GBIF,MA,MA,MA,MA,3753
Nothofagus,Nothofagus betuloides,-54.838306,-68.486794,1973-12-04,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus obliqua,-37.8,-72.85,1992-02-11,GBIF,E,E,E,E,3550
Nothofagus,Nothofagus pumilio,-54.597004,-68.345947,1973-12-11,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus alpina,-37.292778,-71.487778,2017-02-20,GBIF,E,E,E,E,3550
Nothofagus,Nothofagus dombeyi,-41.032837,-72.045593,1973-11-25,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus betuloides,-54.801903,-68.359337,1973-12-07,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus obliqua,-34.5858,-70.9908,1829-01-01,GBIF,MNHN,MNHN,MNHN,P,3541
Nothofagus,Nothofagus obliqua,-38.027634,-73.204132,1973-11-22,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus betuloides,-49.76,-72.09,NA,GBIF,BAB,BAB,BAB,HERB,3614
Nothofagus,Nothofagus betuloides,-54.8308334,-68.5638889,2006-12-12,MO,"DUKE, GB, MO, US","DUKE, GB, MO, US","DUKE, GB, MO, US",NA,280
Nothofagus,Nothofagus dombeyi,-41.43,-71.55,NA,GBIF,SI,SI,SI,HERB,3669
Nothofagus,Nothofagus betuloides,-55.1755,-69.503861,2012-01-21,NY,NY,NY,NY,Herbarium,104
Nothofagus,Nothofagus dombeyi,-37.78,-72.97,NA,GBIF,WELT,WELT,WELT,WELT,3730
Nothofagus,Nothofagus dombeyi,-41.053547,-72.062073,1973-11-24,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus antarctica,-39.4025,-70.8175,1967-11-17,GBIF,MNHN,MNHN,MNHN,P,3541
Nothofagus,Nothofagus pumilio,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus dombeyi,-41.053547,-72.062073,1973-11-24,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus dombeyi,-41,-71.5,1945-12-15,SpeciesLink,IAC,IAC,IAC,IAC,1365
Nothofagus,Nothofagus dombeyi,-41.032837,-72.045593,1973-11-25,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus pumilio,-41.43,-71.55,NA,GBIF,BAB,BAB,BAB,HERB,3614
Nothofagus,Nothofagus betuloides,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus betuloides,-49.76,-72.09,NA,GBIF,BAA,BAA,BAA,HERB,3384
Nothofagus,Nothofagus antarctica,-36.9,-71.45,1990-11-22,MO,MO,MO,MO,NA,280
Nothofagus,Nothofagus pumilio,-37.86,-71.37,2002-01-01,GBIF,MA,MA,MA,MA,3753
Nothofagus,Nothofagus antarctica,-42.91,-71.72,NA,GBIF,SI,SI,SI,HERB,3669
Nothofagus,Nothofagus nitida,-45.9,-73.366667,1992-03-03,GBIF,E,E,E,E,3550
Nothofagus,Nothofagus obliqua,-40.123,-72.45,1851-10-01,GBIF,MNHN,MNHN,MNHN,P,3541
Nothofagus,Nothofagus antarctica,-37.783329,-72.466667,1953-10-17,GBIF,B,B,B,Herbarium Berolinense,3617
Nothofagus,Nothofagus betuloides,-54.801903,-68.359337,1973-12-07,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus pumilio,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus betuloides,-40.23,-73.421,NA,SALVIAS,Gentry Transect Dataset,James S. MIller,NA,NA,14
Nothofagus,Nothofagus obliqua,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus dombeyi,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus obliqua,-34.58586,-70.99078,1828-12-01,GBIF,MNHN,MNHN,MNHN,P,3541
Nothofagus,Nothofagus antarctica,-50,-69.25,1977-01-01,GBIF,UConn,UConn,UConn,CONN,1754
Nothofagus,Nothofagus antarctica,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus pumilio,-54.674917,-65.818658,2007-03-13,GBIF,TRH,TRH,TRH,V,3316
Nothofagus,Nothofagus antarctica,-54.866667,-67.316667,1902-11-01,GBIF,LD,LD,LD,General,3425
Nothofagus,Nothofagus antarctica,-50.125027,-72.999438,NA,GBIF,MACN,MACN,MACN,BA V,2228
Nothofagus,Nothofagus dombeyi,-41.43,-71.55,NA,GBIF,SI,SI,SI,HERB,3669
Nothofagus,Nothofagus dombeyi,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus obliqua,-34.621,-71.171,1831-03-01,GBIF,MNHN,MNHN,MNHN,P,3541
Nothofagus,Nothofagus dombeyi,-35.3869,-64.9208,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus antarctica,-36.67,-70.8,NA,GBIF,SI,SI,SI,HERB,3669
Nothofagus,Nothofagus antarctica,-50.479092,-72.789917,1973-12-16,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus dombeyi,-41.053547,-72.062073,1973-11-24,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus pumilio,-49.75,-72.6666667,1953-01-01,MO,MO,MO,MO,NA,280
Nothofagus,Nothofagus dombeyi,-42.29,-70.74,NA,GBIF,SI,SI,SI,HERB,3669
Nothofagus,Nothofagus dombeyi,-41.053547,-72.062073,1973-11-24,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus glauca,-35.85,-71.1,NA,GBIF,SGO,SGO,SGO,HERB,3426
Nothofagus,Nothofagus dombeyi,-41.032837,-72.045593,1973-11-25,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus nitida,-40.41902,-72.37491,1854-12-01,GBIF,MNHN,MNHN,MNHN,P,3541
Nothofagus,Nothofagus antarctica,-54.78333,-65.21667,1971-10-13,GBIF,MNHN,MNHN,MNHN,P,3541
Nothofagus,Nothofagus dombeyi,-41.053547,-72.062073,1973-11-24,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus obliqua,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus pumilio,-35.3869,-64.9208,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus glauca,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus dombeyi,-41.012119,-71.81488,1973-12-30,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus pumilio,-54.597004,-68.345947,1973-12-11,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus obliqua,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus glauca,-36.594167,-71.466944,2011-02-24,GBIF,E,E,E,E,3550
Nothofagus,Nothofagus antarctica,-50.125027,-72.999438,NA,GBIF,MACN,MACN,MACN,BA V,2228
Nothofagus,Nothofagus dombeyi,-41.2,-72.55,1987-12-04,GBIF,W,W,W,Herbarium W,3736
Nothofagus,Nothofagus pumilio,-41.43,-71.55,NA,GBIF,SI,SI,SI,HERB,3669
